postal_code,locality,bfs_number,canton_code,address_share
1000,"Lausanne 25",5586,VD,100.00
1000,"Lausanne 26",5586,VD,100.00
1000,"Lausanne 27",5586,VD,100.00
1003,Lausanne,5586,VD,100.00
1004,Lausanne,5586,VD,100.00
1005,Lausanne,5586,VD,100.00
1006,Lausanne,5586,VD,100.00
1007,Lausanne,5586,VD,100.00
1008,Jouxtens-Mézery,5585,VD,100.00
1008,Prilly,5589,VD,100.00
1009,Pully,5590,VD,100.00
1010,Lausanne,5586,VD,100.00
1011,Lausanne,5586,VD,100.00
1012,Lausanne,5586,VD,100.00
1015,Lausanne,5627,VD,7.59
1015,Lausanne,5635,VD,84.14
1015,Lausanne,5648,VD,8.28
1018,Lausanne,5586,VD,100.00
1020,"Renens VD",5591,VD,100.00
1022,Chavannes-près-Renens,5627,VD,100.00
1023,Crissier,5583,VD,99.16
1023,Crissier,5586,VD,0.84
1024,"Ecublens VD",5635,VD,100.00
1025,"St-Sulpice VD",5648,VD,100.00
1026,Denges,5632,VD,100.00
1026,Echandens,5633,VD,100.00
1027,Lonay,5638,VD,100.00
1028,Préverenges,5643,VD,100.00
1029,Villars-Ste-Croix,5651,VD,100.00
1030,Bussigny,5624,VD,100.00
1031,"Mex VD",5489,VD,98.53
1031,"Mex VD",5503,VD,1.48
1032,Romanel-sur-Lausanne,5586,VD,19.02
1032,Romanel-sur-Lausanne,5592,VD,80.99
1033,Cheseaux-sur-Lausanne,5582,VD,92.35
1033,Cheseaux-sur-Lausanne,5583,VD,0.85
1033,Cheseaux-sur-Lausanne,5586,VD,6.80
1034,Boussens,5473,VD,100.00
1035,Bournens,5472,VD,100.00
1036,Sullens,5501,VD,100.00
1037,Etagnières,5521,VD,100.00
1038,Bercher,5512,VD,99.02
1038,Bercher,5661,VD,0.33
1038,Bercher,5693,VD,0.66
1040,Echallens,5518,VD,100.00
1040,"St-Barthélemy VD",5535,VD,100.00
1040,Villars-le-Terroir,5537,VD,100.00
1041,Bottens,5514,VD,100.00
1041,Dommartin,5540,VD,100.00
1041,Montaubion-Chardonney,5804,VD,100.00
1041,Naz,5540,VD,100.00
1041,Poliez-Pittet,5533,VD,100.00
1041,Poliez-le-Grand,5540,VD,100.00
1042,Assens,5511,VD,100.00
1042,Bettens,5471,VD,100.00
1042,Bioley-Orjulaz,5511,VD,100.00
1043,Sugnens,5540,VD,100.00
1044,Fey,5522,VD,100.00
1045,Ogens,5680,VD,98.30
1045,Ogens,5903,VD,1.70
1046,Rueyres,5534,VD,100.00
1047,Oppens,5923,VD,100.00
1052,"Le Mont-sur-Lausanne",5587,VD,100.00
1053,Bretigny-sur-Morrens,5515,VD,100.00
1053,"Cugy VD",5516,VD,89.61
1053,"Cugy VD",5586,VD,10.39
1054,"Morrens VD",5527,VD,100.00
1055,Froideville,5523,VD,100.00
1058,Villars-Tiercelin,5804,VD,100.00
1059,Peney-le-Jorat,5673,VD,2.25
1059,Peney-le-Jorat,5804,VD,97.75
1061,Villars-Mendraz,5804,VD,100.00
1062,Sottens,5804,VD,100.00
1063,Boulens,5661,VD,100.00
1063,Chapelle-sur-Moudon,5693,VD,100.00
1063,Martherenges,5693,VD,100.00
1063,Peyres-Possens,5693,VD,96.30
1063,Peyres-Possens,5804,VD,3.70
1066,Epalinges,5584,VD,100.00
1068,"Les Monts-de-Pully",5590,VD,100.00
1070,Puidoux,5607,VD,99.76
1070,Puidoux,5613,VD,0.24
1071,Chexbres,5601,VD,99.45
1071,Chexbres,5609,VD,0.55
1071,Rivaz,5607,VD,1.16
1071,Rivaz,5609,VD,98.84
1071,"St-Saphorin (Lavaux)",5610,VD,100.00
1072,"Forel (Lavaux)",5604,VD,100.00
1073,Mollie-Margot,5611,VD,100.00
1073,Savigny,5611,VD,100.00
1076,"Ferlens VD",5806,VD,100.00
1077,Servion,5799,VD,100.00
1078,Essertes,5805,VD,100.00
1080,"Les Cullayes",5604,VD,0.38
1080,"Les Cullayes",5799,VD,99.62
1081,Montpreveyres,5792,VD,100.00
1082,Corcelles-le-Jorat,5785,VD,100.00
1083,"Mézières VD",5806,VD,100.00
1084,"Carrouge VD",5803,VD,0.18
1084,"Carrouge VD",5806,VD,99.82
1085,Vulliens,2097,FR,0.30
1085,Vulliens,5803,VD,99.70
1088,Ropraz,5798,VD,100.00
1090,"La Croix (Lutry)",5606,VD,99.84
1090,"La Croix (Lutry)",5611,VD,0.16
1091,Aran,5611,VD,0.67
1091,Aran,5613,VD,99.33
1091,Chenaux,5613,VD,100.00
1091,Grandvaux,5604,VD,0.63
1091,Grandvaux,5613,VD,99.38
1092,Belmont-sur-Lausanne,5581,VD,99.75
1092,Belmont-sur-Lausanne,5606,VD,0.25
1093,"La Conversion",5606,VD,100.00
1094,Paudex,5588,VD,100.00
1095,Lutry,5588,VD,0.06
1095,Lutry,5606,VD,99.78
1095,Lutry,5613,VD,0.17
1096,Cully,5607,VD,5.38
1096,Cully,5613,VD,94.62
1096,"Villette (Lavaux)",5613,VD,100.00
1097,Riex,5613,VD,100.00
1098,Epesses,5607,VD,4.25
1098,Epesses,5613,VD,95.76
1110,Morges,5642,VD,100.00
1112,Echichens,5634,VD,100.00
1113,St-Saphorin-sur-Morges,5634,VD,100.00
1114,"Colombier VD",5634,VD,100.00
1115,Vullierens,5654,VD,100.00
1116,"Cottens VD",5656,VD,100.00
1117,Grancy,5485,VD,100.00
1121,Bremblens,5622,VD,100.00
1122,Romanel-sur-Morges,5645,VD,100.00
1123,Aclens,5621,VD,100.00
1124,Gollion,5484,VD,100.00
1125,Monnaz,5634,VD,100.00
1126,Vaux-sur-Morges,5650,VD,100.00
1127,Clarmont,5629,VD,100.00
1128,Reverolle,5656,VD,100.00
1131,Tolochenaz,5649,VD,100.00
1132,"Lully VD",5639,VD,100.00
1134,Chigny,5628,VD,100.00
1134,Vufflens-le-Château,5653,VD,100.00
1135,Denens,5631,VD,100.00
1136,Bussy-Chardonney,5656,VD,100.00
1141,Sévery,5656,VD,100.00
1142,Pampigny,5656,VD,100.00
1143,Apples,5656,VD,100.00
1144,Ballens,5423,VD,100.00
1145,Bière,5425,VD,99.33
1145,Bière,5435,VD,0.67
1146,"Mollens VD",5431,VD,100.00
1147,Montricher,5492,VD,100.00
1148,Chavannes-le-Veyron,5474,VD,1.64
1148,Chavannes-le-Veyron,5475,VD,98.36
1148,Cuarnens,5479,VD,100.00
1148,L'Isle,5486,VD,100.00
1148,"La Coudre",5486,VD,100.00
1148,"La Praz",5758,VD,100.00
1148,Mauraz,5488,VD,100.00
1148,"Moiry VD",5490,VD,100.00
1148,Mont-la-Ville,5491,VD,100.00
1148,Villars-Bozon,5486,VD,100.00
1149,Berolle,5424,VD,99.57
1149,Berolle,5425,VD,0.43
1162,St-Prex,5639,VD,1.45
1162,St-Prex,5646,VD,98.55
1163,Etoy,5636,VD,100.00
1164,Buchillon,5623,VD,100.00
1165,Allaman,5851,VD,100.00
1166,Perroy,5427,VD,1.18
1166,Perroy,5860,VD,98.82
1167,Lussy-sur-Morges,5640,VD,100.00
1168,Villars-sous-Yens,5652,VD,100.00
1169,Yens,5655,VD,100.00
1170,Aubonne,5422,VD,98.38
1170,Aubonne,5637,VD,1.62
1172,Bougy-Villars,5422,VD,3.40
1172,Bougy-Villars,5426,VD,96.60
1173,Féchy,5427,VD,100.00
1174,Montherod,5422,VD,100.00
1174,Pizy,5422,VD,100.00
1175,Lavigny,5637,VD,100.00
1176,St-Livres,5435,VD,100.00
1180,Rolle,5856,VD,7.11
1180,Rolle,5857,VD,3.23
1180,Rolle,5861,VD,89.66
1180,Tartegnin,5856,VD,7.50
1180,Tartegnin,5862,VD,92.50
1182,Gilly,5857,VD,100.00
1183,Bursins,5853,VD,96.70
1183,Bursins,5857,VD,3.30
1184,Luins,5858,VD,100.00
1184,Vinzel,5863,VD,100.00
1185,Mont-sur-Rolle,5856,VD,0.10
1185,Mont-sur-Rolle,5859,VD,99.90
1186,Essertines-sur-Rolle,5856,VD,98.13
1186,Essertines-sur-Rolle,5857,VD,1.87
1187,St-Oyens,5436,VD,100.00
1188,Gimel,5428,VD,100.00
1188,St-George,5434,VD,100.00
1189,Saubraz,5437,VD,100.00
1195,Bursinel,5852,VD,99.13
1195,Bursinel,5857,VD,0.87
1195,Dully,5855,VD,100.00
1196,Gland,5721,VD,100.00
1197,Prangins,5725,VD,100.00
1201,Genève,6621,GE,100.00
1202,Genève,6621,GE,99.20
1202,Genève,6634,GE,0.80
1203,Genève,6621,GE,100.00
1204,Genève,6621,GE,100.00
1205,Genève,6621,GE,100.00
1206,Genève,6621,GE,100.00
1207,Genève,6621,GE,100.00
1208,Genève,6621,GE,100.00
1209,Genève,6621,GE,98.33
1209,Genève,6623,GE,0.56
1209,Genève,6643,GE,1.11
1212,Grand-Lancy,6628,GE,91.57
1212,Grand-Lancy,6631,GE,8.08
1212,Grand-Lancy,6633,GE,0.35
1213,Onex,6628,GE,0.20
1213,Onex,6631,GE,99.80
1213,Petit-Lancy,6621,GE,2.50
1213,Petit-Lancy,6628,GE,97.50
1214,Vernier,6630,GE,1.72
1214,Vernier,6638,GE,8.00
1214,Vernier,6643,GE,90.27
1215,Genève,6623,GE,50.91
1215,Genève,6630,GE,49.09
1216,Cointrin,6623,GE,0.12
1216,Cointrin,6630,GE,69.70
1216,Cointrin,6643,GE,30.18
1217,Meyrin,6630,GE,100.00
1218,"Le Grand-Saconnex",6621,GE,0.38
1218,"Le Grand-Saconnex",6623,GE,99.62
1219,Aïre,6643,GE,100.00
1219,Châtelaine,6643,GE,100.00
1219,"Le Lignon",6643,GE,100.00
1220,"Les Avanchets",6643,GE,100.00
1222,Vésenaz,6616,GE,100.00
1223,Cologny,6617,GE,100.00
1224,Chêne-Bougeries,6612,GE,100.00
1225,Chêne-Bourg,6613,GE,100.00
1226,Thônex,6640,GE,100.00
1227,"Carouge GE",6608,GE,99.91
1227,"Carouge GE",6621,GE,0.09
1227,"Les Acacias",6608,GE,1.52
1227,"Les Acacias",6621,GE,93.06
1227,"Les Acacias",6628,GE,5.42
1228,Plan-les-Ouates,6618,GE,0.11
1228,Plan-les-Ouates,6628,GE,0.46
1228,Plan-les-Ouates,6633,GE,99.43
1231,Conches,6612,GE,100.00
1232,Confignon,6607,GE,0.40
1232,Confignon,6618,GE,99.60
1233,Bernex,6607,GE,100.00
1234,Vessy,6645,GE,100.00
1236,Cartigny,6604,GE,1.31
1236,Cartigny,6607,GE,2.13
1236,Cartigny,6609,GE,95.91
1236,Cartigny,6627,GE,0.66
1237,Avully,6603,GE,99.13
1237,Avully,6611,GE,0.87
1239,Collex,6615,GE,100.00
1241,Puplinge,6636,GE,100.00
1242,Satigny,6638,GE,100.00
1243,Presinge,6635,GE,100.00
1244,Choulex,6614,GE,100.00
1245,Collonge-Bellerive,6616,GE,100.00
1246,"Corsier GE",6619,GE,100.00
1247,Anières,6602,GE,100.00
1248,Hermance,6625,GE,100.00
1251,Gy,6624,GE,100.00
1252,Meinier,6629,GE,100.00
1253,Vandoeuvres,6642,GE,100.00
1254,Jussy,6624,GE,0.39
1254,Jussy,6626,GE,99.62
1255,Veyrier,6645,GE,100.00
1256,Troinex,6641,GE,100.00
1257,"La Croix-de-Rozon",6605,GE,98.57
1257,"La Croix-de-Rozon",6633,GE,1.43
1258,Perly,6605,GE,4.86
1258,Perly,6632,GE,95.14
1260,Nyon,5724,VD,99.62
1260,Nyon,5725,VD,0.39
1261,"Le Vaud",5731,VD,100.00
1261,Longirod,5429,VD,100.00
1261,Marchissy,5430,VD,100.00
1262,Eysins,5716,VD,100.00
1263,Crassier,5714,VD,100.00
1264,St-Cergue,5702,VD,0.72
1264,St-Cergue,5727,VD,99.28
1265,"La Cure",5727,VD,100.00
1266,Duillier,5715,VD,100.00
1267,Coinsins,5710,VD,100.00
1267,Vich,5732,VD,100.00
1268,Begnins,5704,VD,100.00
1268,Burtigny,5853,VD,6.38
1268,Burtigny,5854,VD,92.62
1268,Burtigny,5863,VD,1.01
1269,Bassins,5703,VD,100.00
1270,Trélex,5730,VD,100.00
1271,Givrins,5720,VD,100.00
1272,Genolier,5718,VD,99.72
1272,Genolier,5720,VD,0.28
1273,"Arzier-Le Muids",5702,VD,100.00
1274,Grens,5722,VD,100.00
1274,Signy,5728,VD,100.00
1275,Chéserex,5709,VD,99.51
1275,Chéserex,5726,VD,0.49
1276,Gingins,5709,VD,0.15
1276,Gingins,5719,VD,99.28
1276,Gingins,5727,VD,0.58
1277,Arnex-sur-Nyon,5701,VD,100.00
1277,Borex,5706,VD,100.00
1278,"La Rippe",5726,VD,100.00
1279,Bogis-Bossey,5705,VD,100.00
1279,Chavannes-de-Bogis,5707,VD,100.00
1281,Russin,6637,GE,99.38
1281,Russin,6638,GE,0.63
1283,Dardagny,6620,GE,100.00
1283,"La Plaine",6620,GE,100.00
1284,Chancy,6611,GE,100.00
1285,"Athenaz (Avusy)",6604,GE,96.66
1285,"Athenaz (Avusy)",6611,GE,3.34
1286,Soral,6607,GE,0.82
1286,Soral,6639,GE,99.19
1287,Laconnex,6627,GE,100.00
1288,Aire-la-Ville,6601,GE,100.00
1290,Chavannes-des-Bois,5708,VD,100.00
1290,Versoix,5723,VD,0.21
1290,Versoix,6615,GE,3.15
1290,Versoix,6644,GE,96.64
1291,Commugny,5711,VD,100.00
1292,Chambésy,6621,GE,0.47
1292,Chambésy,6634,GE,99.53
1293,Bellevue,6606,GE,100.00
1294,Genthod,6622,GE,100.00
1295,Mies,5723,VD,100.00
1295,Tannay,5729,VD,100.00
1296,Coppet,5712,VD,99.70
1296,Coppet,5717,VD,0.30
1297,Founex,5712,VD,0.42
1297,Founex,5717,VD,99.58
1298,Céligny,6610,GE,100.00
1299,"Crans VD",5713,VD,100.00
1302,Vufflens-la-Ville,5503,VD,100.00
1303,Penthaz,5496,VD,100.00
1304,Allens,5477,VD,100.00
1304,Cossonay-Ville,5477,VD,100.00
1304,Dizy,5481,VD,100.00
1304,Senarclens,5499,VD,100.00
1305,Penthalaz,5495,VD,100.00
1306,Daillens,5471,VD,1.67
1306,Daillens,5480,VD,98.33
1307,Lussery-Villars,5487,VD,100.00
1308,"La Chaux (Cossonay)",5474,VD,100.00
1312,Eclépens,5482,VD,100.00
1313,Ferreyres,5483,VD,100.00
1315,"La Sarraz",5498,VD,100.00
1316,Chevilly,5474,VD,3.57
1316,Chevilly,5476,VD,96.43
1317,Orny,5493,VD,100.00
1318,Pompaples,5497,VD,100.00
1321,Arnex-sur-Orbe,5743,VD,100.00
1322,Croy,5752,VD,100.00
1323,Romainmôtier,5761,VD,100.00
1324,Premier,5759,VD,100.00
1325,Vaulion,5491,VD,1.11
1325,Vaulion,5765,VD,98.89
1326,Juriens,5754,VD,100.00
1329,Bretonnières,5748,VD,100.00
1337,Vallorbe,5764,VD,100.00
1338,Ballaigues,5744,VD,100.00
1341,L'Orient,5872,VD,100.00
1342,"Le Pont",5871,VD,100.00
1343,"Les Charbonnières",5873,VD,100.00
1344,L'Abbaye,5871,VD,100.00
1345,"Le Lieu",5873,VD,100.00
1345,"Le Séchey",5873,VD,100.00
1346,"Les Bioux",5871,VD,100.00
1347,"Le Sentier",5872,VD,100.00
1347,"Le Solliat",5872,VD,100.00
1348,"Le Brassus",5872,VD,100.00
1350,Orbe,5757,VD,100.00
1352,Agiez,5742,VD,100.00
1353,Bofflens,5747,VD,100.00
1354,Montcherand,5756,VD,100.00
1355,L'Abergement,5741,VD,100.00
1355,Sergey,5762,VD,100.00
1356,"La Russille",5750,VD,100.00
1356,"Les Clées",5750,VD,100.00
1357,Lignerolle,5741,VD,2.04
1357,Lignerolle,5755,VD,97.96
1358,Valeyres-sous-Rances,5763,VD,100.00
1372,Bavois,5493,VD,4.05
1372,Bavois,5746,VD,95.95
1373,Chavornay,5749,VD,100.00
1374,Corcelles-sur-Chavornay,5749,VD,100.00
1375,Penthéréaz,5531,VD,100.00
1376,Eclagnens,5541,VD,100.00
1376,Goumoens-la-Ville,5541,VD,100.00
1376,Goumoens-le-Jux,5541,VD,100.00
1377,Oulens-sous-Echallens,5529,VD,100.00
1400,Cheseaux-Noréaz,5909,VD,99.56
1400,Cheseaux-Noréaz,5911,VD,0.44
1400,Yverdon-les-Bains,5938,VD,100.00
1404,Cuarny,5911,VD,100.00
1404,Villars-Epeney,5935,VD,100.00
1405,Pomy,5926,VD,100.00
1406,Cronay,5910,VD,100.00
1407,Bioley-Magnoux,5903,VD,100.00
1407,Donneloye,5913,VD,100.00
1407,Gossens,5913,VD,100.00
1407,Mézery-près-Donneloye,5913,VD,100.00
1408,Prahins,5913,VD,100.00
1409,Chanéaz,5693,VD,100.00
1410,Correvon,5693,VD,100.00
1410,Denezy,5693,VD,100.00
1410,Prévondavaux,2038,FR,100.00
1410,St-Cierges,5693,VD,100.00
1410,Thierrens,5693,VD,100.00
1412,Ursins,5932,VD,100.00
1412,Valeyres-sous-Ursins,5934,VD,100.00
1413,Orzens,5925,VD,100.00
1415,Démoret,5912,VD,100.00
1415,Molondin,5921,VD,100.00
1416,Pailly,5530,VD,100.00
1417,Epautheyres,5520,VD,100.00
1417,Essertines-sur-Yverdon,5520,VD,100.00
1418,Vuarrens,5539,VD,100.00
1420,Fiez,5556,VD,100.00
1421,Fontaines-sur-Grandson,5557,VD,100.00
1421,Grandevent,5560,VD,100.00
1422,Grandson,5561,VD,100.00
1423,Fontanezier,5551,VD,27.06
1423,Fontanezier,5571,VD,72.94
1423,Romairon,5571,VD,100.00
1423,Vaugondry,5571,VD,100.00
1423,Villars-Burquin,5571,VD,100.00
1424,Champagne,5553,VD,100.00
1425,"Onnens VD",5565,VD,100.00
1426,Concise,5554,VD,100.00
1426,Corcelles-près-Concise,5555,VD,100.00
1427,Bonvillars,5551,VD,100.00
1428,Mutrux,5563,VD,100.00
1428,Provence,5566,VD,100.00
1429,Giez,5559,VD,100.00
1430,Orges,5924,VD,100.00
1431,Novalles,5564,VD,100.00
1431,"Vugelles-La Mothe",5937,VD,100.00
1432,Belmont-sur-Yverdon,5902,VD,100.00
1432,Gressy,5938,VD,100.00
1433,Suchy,5929,VD,100.00
1434,"Ependes VD",5914,VD,100.00
1435,Essert-Pittet,5749,VD,100.00
1436,Chamblon,5904,VD,100.00
1436,Treycovagnes,5931,VD,100.00
1437,Suscévaz,5930,VD,100.00
1438,Mathod,5919,VD,100.00
1439,Rances,5760,VD,100.00
1441,Valeyres-sous-Montagny,5933,VD,100.00
1442,Montagny-près-Yverdon,5922,VD,100.00
1443,Champvent,5766,VD,0.37
1443,Champvent,5905,VD,99.63
1443,Essert-sous-Champvent,5905,VD,100.00
1443,Villars-sous-Champvent,5905,VD,100.00
1445,Vuiteboeuf,5568,VD,1.54
1445,Vuiteboeuf,5766,VD,98.46
1446,Baulmes,5745,VD,100.00
1450,"La Sagne (Ste-Croix)",5568,VD,100.00
1450,"Le Château-de-Ste-Croix",5568,VD,100.00
1450,Ste-Croix,5568,VD,100.00
1452,"Les Rasses",5552,VD,84.91
1452,"Les Rasses",5568,VD,15.09
1453,Bullet,5552,VD,97.40
1453,Bullet,5556,VD,2.60
1453,Mauborget,5557,VD,7.81
1453,Mauborget,5560,VD,3.13
1453,Mauborget,5562,VD,79.69
1453,Mauborget,5571,VD,9.38
1454,L'Auberson,5568,VD,99.37
1454,L'Auberson,5745,VD,0.63
1454,"La Vraconnaz",5568,VD,100.00
1462,Yvonand,5939,VD,100.00
1463,Rovray,5928,VD,100.00
1464,Chavannes-le-Chêne,5907,VD,100.00
1464,Chêne-Pâquier,5908,VD,100.00
1468,Cheyres,2055,FR,100.00
1470,Bollion,2025,FR,100.00
1470,Estavayer-le-Lac,2025,FR,0.09
1470,Estavayer-le-Lac,2054,FR,99.91
1470,"Lully FR",2025,FR,100.00
1470,Seiry,2025,FR,100.00
1473,"Châtillon FR",2008,FR,100.00
1473,Font,2054,FR,100.00
1474,"Châbles FR",2055,FR,100.00
1475,Autavaux,2054,FR,100.00
1475,"Forel FR",2054,FR,100.00
1475,Montbrelloz,2054,FR,100.00
1482,"Cugy FR",2011,FR,100.00
1483,Frasses,2050,FR,100.00
1483,"Montet (Broye)",2050,FR,100.00
1483,Vesin,2011,FR,100.00
1484,Aumont,2050,FR,100.00
1484,Granges-de-Vesin,2050,FR,100.00
1485,Nuvilly,2035,FR,95.27
1485,Nuvilly,5831,VD,4.73
1486,Vuissens,2054,FR,100.00
1489,Murist,2054,FR,100.00
1509,Vucherens,5692,VD,100.00
1510,Moudon,5665,VD,0.11
1510,Moudon,5678,VD,99.89
1510,Syens,5688,VD,100.00
1512,Chavannes-sur-Moudon,5665,VD,100.00
1513,Hermenches,5673,VD,99.19
1513,Hermenches,5785,VD,0.81
1513,Rossenges,5684,VD,100.00
1514,Bussy-sur-Moudon,5663,VD,100.00
1515,Neyruz-sur-Moudon,5693,VD,100.00
1515,Villars-le-Comte,5690,VD,100.00
1521,Curtilles,5669,VD,100.00
1522,Lucens,5675,VD,100.00
1522,Oulens-sur-Lucens,5675,VD,100.00
1523,Granges-près-Marnand,5831,VD,100.00
1524,Marnand,5831,VD,100.00
1525,Henniez,5819,VD,100.00
1525,Seigneux,2044,FR,6.44
1525,Seigneux,5831,VD,93.56
1526,Cremin,5675,VD,100.00
1526,Forel-sur-Lucens,5675,VD,100.00
1527,"Villeneuve FR",2044,FR,100.00
1528,Praratoud,2044,FR,100.00
1528,Surpierre,2044,FR,100.00
1529,Cheiry,2044,FR,100.00
1530,Payerne,5822,VD,100.00
1532,Fétigny,2056,FR,100.00
1533,Ménières,2056,FR,100.00
1534,"Chapelle (Broye)",2044,FR,100.00
1534,Sassel,2050,FR,5.26
1534,Sassel,5831,VD,94.74
1535,Combremont-le-Grand,5831,VD,100.00
1536,Combremont-le-Petit,5831,VD,100.00
1537,Champtauroz,5812,VD,100.00
1538,"Treytorrens (Payerne)",5828,VD,100.00
1541,"Bussy FR",2054,FR,100.00
1541,"Morens FR",2054,FR,100.00
1541,Sévaz,2043,FR,100.00
1542,Rueyres-les-Prés,2054,FR,100.00
1543,Grandcour,5817,VD,100.00
1544,Gletterens,2022,FR,100.00
1545,Chevroux,5813,VD,100.00
1551,Vers-chez-Perrin,5822,VD,100.00
1552,Trey,5827,VD,100.00
1553,Châtonnaye,2068,FR,100.00
1554,"Rossens VD",5830,VD,100.00
1554,Sédeilles,5830,VD,100.00
1555,Villarzel,5830,VD,100.00
1562,Corcelles-près-Payerne,2029,FR,0.31
1562,Corcelles-près-Payerne,5816,VD,99.46
1562,Corcelles-près-Payerne,5822,VD,0.23
1563,"Dompierre FR",2053,FR,100.00
1564,Domdidier,2053,FR,99.89
1564,Domdidier,5451,VD,0.11
1565,Missy,5821,VD,100.00
1565,Vallon,2045,FR,100.00
1566,"Les Friques",2041,FR,100.00
1566,"St-Aubin FR",2041,FR,100.00
1567,Delley,2051,FR,100.00
1568,Portalban,2051,FR,100.00
1580,Avenches,2053,FR,1.02
1580,Avenches,5451,VD,98.98
1580,Donatyre,5451,VD,100.00
1580,Oleyres,2053,FR,15.71
1580,Oleyres,5451,VD,84.29
1583,Villarepos,2254,FR,100.00
1584,Villars-le-Grand,5464,VD,100.00
1585,"Bellerive VD",5464,VD,100.00
1585,Cotterd,5464,VD,100.00
1585,Salavaux,5464,VD,100.00
1586,Vallamand,5464,VD,100.00
1587,Constantine,5464,VD,100.00
1587,Montmagny,5464,VD,100.00
1588,Cudrefin,5456,VD,100.00
1589,Chabrey,5464,VD,100.00
1595,Clavaleyres,2275,FR,100.00
1595,Faoug,5458,VD,100.00
1607,"Les Tavernes",5805,VD,100.00
1607,"Les Thioleyres",5607,VD,13.97
1607,"Les Thioleyres",5805,VD,86.03
1607,Palézieux,5805,VD,100.00
1607,Palézieux-Village,5805,VD,100.00
1608,Bussigny-sur-Oron,5805,VD,100.00
1608,"Chapelle (Glâne)",2097,FR,100.00
1608,Chesalles-sur-Oron,5805,VD,100.00
1608,Oron-le-Châtel,5805,VD,100.00
1609,Besencens,2335,FR,100.00
1609,Fiaugères,2335,FR,100.00
1609,"St-Martin FR",2335,FR,100.00
1610,Châtillens,5805,VD,100.00
1610,Oron-la-Ville,5805,VD,100.00
1610,Vuibroye,5805,VD,100.00
1611,"Le Crêt-près-Semsales",2338,FR,100.00
1612,Ecoteaux,5805,VD,100.00
1613,Maracon,5790,VD,100.00
1614,"Granges (Veveyse)",2328,FR,100.00
1615,Bossonnens,2323,FR,100.00
1616,Attalens,2321,FR,100.00
1617,Remaufens,2333,FR,100.00
1617,Tatroz,2321,FR,100.00
1618,Châtel-St-Denis,2325,FR,99.93
1618,Châtel-St-Denis,2333,FR,0.07
1619,"Les Paccots",2325,FR,100.00
1623,Semsales,2336,FR,100.00
1624,Grattavache,2338,FR,100.00
1624,"La Verrerie",2338,FR,100.00
1624,Progens,2338,FR,100.00
1625,Maules,2152,FR,100.00
1625,"Sâles (Gruyère)",2152,FR,100.00
1626,Romanens,2152,FR,100.00
1626,Rueyres-Treyfayes,2152,FR,100.00
1627,Vaulruz,2152,FR,1.79
1627,Vaulruz,2155,FR,97.83
1627,Vaulruz,2336,FR,0.38
1628,Vuadens,2131,FR,0.55
1628,Vuadens,2148,FR,0.85
1628,Vuadens,2155,FR,0.18
1628,Vuadens,2160,FR,98.42
1630,Bulle,2125,FR,99.70
1630,Bulle,2155,FR,0.09
1630,Bulle,2160,FR,0.12
1630,Bulle,2336,FR,0.09
1632,Riaz,2148,FR,100.00
1633,Marsens,2140,FR,100.00
1633,Vuippens,2140,FR,100.00
1634,"La Roche FR",2137,FR,0.29
1634,"La Roche FR",2149,FR,99.72
1635,"La Tour-de-Trême",2125,FR,96.12
1635,"La Tour-de-Trême",2135,FR,2.79
1635,"La Tour-de-Trême",2145,FR,1.09
1636,Broc,2124,FR,98.69
1636,Broc,2135,FR,1.32
1637,"Charmey (Gruyère)",2138,FR,0.59
1637,"Charmey (Gruyère)",2163,FR,99.41
1638,Morlon,2143,FR,100.00
1642,Sorens,2153,FR,100.00
1643,Gumefens,2122,FR,100.00
1644,Avry-devant-Pont,2122,FR,100.00
1645,"Le Bry",2122,FR,100.00
1646,Echarlens,2129,FR,1.86
1646,Echarlens,2131,FR,98.14
1647,Corbières,2129,FR,99.31
1647,Corbières,2137,FR,0.69
1648,Hauteville,2137,FR,100.00
1649,Pont-la-Ville,2147,FR,100.00
1651,Villarvolard,2129,FR,100.00
1652,Botterens,2123,FR,100.00
1652,Villarbeney,2123,FR,100.00
1653,Châtel-sur-Montsalvens,2124,FR,0.99
1653,Châtel-sur-Montsalvens,2128,FR,99.01
1653,Crésuz,2130,FR,100.00
1654,"Cerniat FR",2163,FR,100.00
1656,"Im Fang",2138,FR,100.00
1656,Jaun,2138,FR,100.00
1657,Abländschen,791,BE,6.77
1657,Abländschen,843,BE,87.97
1657,Abländschen,2138,FR,5.26
1658,"La Tine",5842,VD,100.00
1658,Rossinière,5842,VD,100.00
1659,Flendruz,5841,VD,67.42
1659,Flendruz,5843,VD,32.58
1659,Rougemont,5841,VD,0.36
1659,Rougemont,5843,VD,99.64
1660,Château-d'Oex,5841,VD,100.00
1660,L'Etivaz,5841,VD,100.00
1660,"La Lécherette",5410,VD,3.18
1660,"La Lécherette",5841,VD,96.83
1660,"Les Moulins",5841,VD,100.00
1661,"Le Pâquier-Montbarry",2125,FR,0.36
1661,"Le Pâquier-Montbarry",2135,FR,0.12
1661,"Le Pâquier-Montbarry",2145,FR,99.52
1663,Epagny,2135,FR,100.00
1663,Gruyères,2135,FR,100.00
1663,Moléson-sur-Gruyères,2135,FR,97.44
1663,Moléson-sur-Gruyères,2162,FR,2.56
1663,Pringy,2135,FR,100.00
1665,Estavannens,2162,FR,100.00
1666,Grandvillard,2134,FR,100.00
